AREA,SUBAREA,ISBN,TITULO,ED,ANIO,AUTOR,EDITORIAL,STOCK,PVP_S
ADMINISTRACION,ADMINISTRACION DE OPERACIONES / PRODUCCION / INVEN,978-607-17-1130-4,EL SISTEMA DE PRODUCCION. ARTE Y SOCIEDAD LATINOAMERICANA I,1,2012,ACHA,TRILLAS,3,35.0
ADMINISTRACION,ADMINISTRACION DE OPERACIONES / PRODUCCION / INVEN,978-958-762-748-0,INVESTIGACION DE OPERACIONES,1,2018,ALZATE,EDICIONES DE LA U,1,42.3
ADMINISTRACION,ADMINISTRACION DE OPERACIONES / PRODUCCION / INVEN,978-612-4315-25-1,GUIA DE PROCEDIMIENTOS ADMINISTRATIVOS. GUIA INTEGRAL TEORICA Y PRACTICA PARA OP,5,2017,ANACLETO,IDEMSA,10,118.9
ADMINISTRACION,ADMINISTRACION DE OPERACIONES / PRODUCCION / INVEN,978-84-368-3900-5,DIRECCION DE LA PRODUCCION Y OPERACIONES,1,2018,ARIAS,PIRAMIDE,1,162.3
ADMINISTRACION,ADMINISTRACION DE OPERACIONES / PRODUCCION / INVEN,978-958-771-805-8,PRODUCCION Y OPERACIONES APLICADAS A LAS PYME,4,2019,BELLO,ECOE,3,102.8
ADMINISTRACION,ADMINISTRACION DE OPERACIONES / PRODUCCION / INVEN,978-84-454-3210-5,FUNDAMENTOS DE DIRECCION DE PRODUCCION Y OPERACIONES,DL,2016,DE LA PEÑA,CEF. (CENTRO DE ESTUDIOS FINANCIEROS),6,170.0
ADMINISTRACION,ADMINISTRACION DE OPERACIONES / PRODUCCION / INVEN,978-84-15986-66-9,LOS CIEN ERRORES EN LOS PROCESOS DE NEGOCIACION,1,2015,DE MANUEL,ESIC,7,32.1
ADMINISTRACION,ADMINISTRACION DE OPERACIONES / PRODUCCION / INVEN,978-612-304-504-3,ADMINISTRACION DE OPERACIONES,1,2016,FLORES,MACRO,39,89.6
ADMINISTRACION,ADMINISTRACION DE OPERACIONES / PRODUCCION / INVEN,978-958-741-542-1,MANUAL PRACTICO DE INVESTIGACION DE OPERACIONES I,4R,2015,GONZALEZ,UNIV. DEL NORTE,1,46.7
ADMINISTRACION,ADMINISTRACION DE OPERACIONES / PRODUCCION / INVEN,978-84-9035-287-8,DIRECCION DE LA PRODUCCION Y DE OPERACIONES. DECISIONES ESTRATEGICAS,11,2015,HEIZER,PEARSON,3,140.0
